Log started on 2/4/2022
Connected to Server at 0:13:44
0:14:4:Device Configured
UID: SAPA_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
0:14:5:Recording Started
0:14:6:Time Elapsed (s):1 of 180
0:14:7:Time Elapsed (s):2 of 180
0:14:8:Time Elapsed (s):3 of 180
0:14:9:Time Elapsed (s):4 of 180
0:14:10:Time Elapsed (s):5 of 180
0:14:11:Time Elapsed (s):6 of 180
0:14:12:Time Elapsed (s):7 of 180
0:14:13:Time Elapsed (s):8 of 180
0:14:14:Time Elapsed (s):9 of 180
0:14:15:Time Elapsed (s):10 of 180
0:14:16:Time Elapsed (s):11 of 180
0:14:17:Time Elapsed (s):12 of 180
0:14:18:Time Elapsed (s):13 of 180
0:14:19:Time Elapsed (s):14 of 180
0:14:20:Time Elapsed (s):15 of 180
0:14:21:Time Elapsed (s):16 of 180
0:14:22:Time Elapsed (s):17 of 180
0:14:23:Time Elapsed (s):18 of 180
0:14:24:Time Elapsed (s):19 of 180
0:14:25:Time Elapsed (s):20 of 180
0:14:26:Time Elapsed (s):21 of 180
0:14:27:Time Elapsed (s):22 of 180
0:14:28:Time Elapsed (s):23 of 180
0:14:29:Time Elapsed (s):24 of 180
0:14:30:Time Elapsed (s):25 of 180
0:14:31:Time Elapsed (s):26 of 180
0:14:32:Time Elapsed (s):27 of 180
0:14:33:Time Elapsed (s):28 of 180
0:14:34:Time Elapsed (s):29 of 180
0:14:35:Time Elapsed (s):30 of 180
0:14:36:Time Elapsed (s):31 of 180
0:14:37:Time Elapsed (s):32 of 180
0:14:38:Time Elapsed (s):33 of 180
0:14:39:Time Elapsed (s):34 of 180
0:14:40:Time Elapsed (s):35 of 180
0:14:41:Time Elapsed (s):36 of 180
0:14:42:Time Elapsed (s):37 of 180
0:14:43:Time Elapsed (s):38 of 180
0:14:44:Time Elapsed (s):39 of 180
0:14:45:Time Elapsed (s):40 of 180
0:14:46:Time Elapsed (s):41 of 180
0:14:47:Time Elapsed (s):42 of 180
0:14:48:Time Elapsed (s):43 of 180
0:14:49:Time Elapsed (s):44 of 180
0:14:50:Time Elapsed (s):45 of 180
0:14:51:Time Elapsed (s):46 of 180
0:14:52:Time Elapsed (s):47 of 180
0:14:53:Time Elapsed (s):48 of 180
0:14:54:Time Elapsed (s):49 of 180
0:14:55:Time Elapsed (s):50 of 180
0:14:56:Time Elapsed (s):51 of 180
0:14:57:Time Elapsed (s):52 of 180
0:14:58:Time Elapsed (s):53 of 180
0:14:59:Time Elapsed (s):54 of 180
0:15:0:Time Elapsed (s):55 of 180
0:15:1:Time Elapsed (s):56 of 180
0:15:2:Time Elapsed (s):57 of 180
0:15:3:Time Elapsed (s):58 of 180
0:15:4:Time Elapsed (s):59 of 180
0:15:5:Time Elapsed (s):60 of 180
0:15:6:Time Elapsed (s):61 of 180
