Log started on 2/3/2022
Connected to Server at 23:32:1
23:36:17:Device Configured
UID: PAEC_P2_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
23:36:18:Recording Started
23:36:19:Time Elapsed (s):1 of 180
23:36:20:Time Elapsed (s):2 of 180
23:36:21:Time Elapsed (s):3 of 180
23:36:22:Time Elapsed (s):4 of 180
23:36:23:Time Elapsed (s):5 of 180
23:36:24:Time Elapsed (s):6 of 180
23:36:25:Time Elapsed (s):7 of 180
23:36:26:Time Elapsed (s):8 of 180
23:36:27:Time Elapsed (s):9 of 180
23:36:28:Time Elapsed (s):10 of 180
23:36:29:Time Elapsed (s):11 of 180
23:36:30:Time Elapsed (s):12 of 180
23:36:31:Time Elapsed (s):13 of 180
23:36:32:Time Elapsed (s):14 of 180
23:36:33:Time Elapsed (s):15 of 180
23:36:34:Time Elapsed (s):16 of 180
23:36:35:Time Elapsed (s):17 of 180
23:36:36:Time Elapsed (s):18 of 180
23:36:37:Time Elapsed (s):19 of 180
23:36:38:Time Elapsed (s):20 of 180
23:36:39:Time Elapsed (s):21 of 180
23:36:40:Time Elapsed (s):22 of 180
23:36:41:Time Elapsed (s):23 of 180
23:36:42:Time Elapsed (s):24 of 180
23:36:43:Time Elapsed (s):25 of 180
23:36:44:Time Elapsed (s):26 of 180
23:36:45:Time Elapsed (s):27 of 180
23:36:46:Time Elapsed (s):28 of 180
23:36:47:Time Elapsed (s):29 of 180
23:36:48:Time Elapsed (s):30 of 180
23:36:49:Time Elapsed (s):31 of 180
23:36:50:Time Elapsed (s):32 of 180
23:36:51:Time Elapsed (s):33 of 180
23:36:52:Time Elapsed (s):34 of 180
23:36:53:Time Elapsed (s):35 of 180
23:36:54:Time Elapsed (s):36 of 180
23:36:55:Time Elapsed (s):37 of 180
23:36:56:Time Elapsed (s):38 of 180
23:36:57:Time Elapsed (s):39 of 180
23:36:58:Time Elapsed (s):40 of 180
23:36:59:Time Elapsed (s):41 of 180
23:37:0:Time Elapsed (s):42 of 180
23:37:1:Time Elapsed (s):43 of 180
23:37:2:Time Elapsed (s):44 of 180
23:37:3:Time Elapsed (s):45 of 180
23:37:4:Time Elapsed (s):46 of 180
23:37:5:Time Elapsed (s):47 of 180
23:37:6:Time Elapsed (s):48 of 180
23:37:7:Time Elapsed (s):49 of 180
23:37:8:Time Elapsed (s):50 of 180
23:37:9:Time Elapsed (s):51 of 180
23:37:10:Time Elapsed (s):52 of 180
23:37:11:Time Elapsed (s):53 of 180
23:37:12:Time Elapsed (s):54 of 180
23:37:13:Time Elapsed (s):55 of 180
23:37:14:Time Elapsed (s):56 of 180
23:37:15:Time Elapsed (s):57 of 180
23:37:16:Time Elapsed (s):58 of 180
23:37:17:Time Elapsed (s):59 of 180
23:37:18:Time Elapsed (s):60 of 180
23:37:19:Time Elapsed (s):61 of 180
23:37:20:Time Elapsed (s):62 of 180
23:37:21:Time Elapsed (s):63 of 180
23:37:22:Time Elapsed (s):64 of 180
23:37:23:Time Elapsed (s):65 of 180
23:37:24:Time Elapsed (s):66 of 180
23:37:25:Time Elapsed (s):67 of 180
23:37:26:Time Elapsed (s):68 of 180
23:37:27:Time Elapsed (s):69 of 180
23:37:28:Time Elapsed (s):70 of 180
23:37:29:Time Elapsed (s):71 of 180
23:37:30:Time Elapsed (s):72 of 180
23:37:31:Time Elapsed (s):73 of 180
23:37:32:Time Elapsed (s):74 of 180
23:37:33:Time Elapsed (s):75 of 180
23:37:34:Time Elapsed (s):76 of 180
23:37:35:Time Elapsed (s):77 of 180
23:37:36:Time Elapsed (s):78 of 180
23:37:37:Time Elapsed (s):79 of 180
23:37:38:Time Elapsed (s):80 of 180
23:37:39:Time Elapsed (s):81 of 180
