Log started on 2/3/2022
Connected to Server at 22:14:42
22:33:5:Device Configured
UID: PAKPEC_P1_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
22:33:7:Recording Started
22:33:8:Time Elapsed (s):1 of 180
22:33:9:Time Elapsed (s):2 of 180
22:33:10:Time Elapsed (s):3 of 180
22:33:11:Time Elapsed (s):4 of 180
22:33:12:Time Elapsed (s):5 of 180
22:33:13:Time Elapsed (s):6 of 180
22:33:14:Time Elapsed (s):7 of 180
22:33:15:Time Elapsed (s):8 of 180
22:33:16:Time Elapsed (s):9 of 180
22:33:17:Time Elapsed (s):10 of 180
22:33:18:Time Elapsed (s):11 of 180
22:33:19:Time Elapsed (s):12 of 180
22:33:20:Time Elapsed (s):13 of 180
22:33:21:Time Elapsed (s):14 of 180
22:33:22:Time Elapsed (s):15 of 180
22:33:23:Time Elapsed (s):16 of 180
22:33:24:Time Elapsed (s):17 of 180
22:33:25:Time Elapsed (s):18 of 180
22:33:26:Time Elapsed (s):19 of 180
22:33:27:Time Elapsed (s):20 of 180
22:33:28:Time Elapsed (s):21 of 180
22:33:29:Time Elapsed (s):22 of 180
22:33:30:Time Elapsed (s):23 of 180
22:33:31:Time Elapsed (s):24 of 180
22:33:32:Time Elapsed (s):25 of 180
22:33:33:Time Elapsed (s):26 of 180
22:33:34:Time Elapsed (s):27 of 180
22:33:35:Time Elapsed (s):28 of 180
22:33:36:Time Elapsed (s):29 of 180
22:33:37:Time Elapsed (s):30 of 180
22:33:38:Time Elapsed (s):31 of 180
22:33:39:Time Elapsed (s):32 of 180
22:33:40:Time Elapsed (s):33 of 180
22:33:41:Time Elapsed (s):34 of 180
22:33:42:Time Elapsed (s):35 of 180
22:33:43:Time Elapsed (s):36 of 180
22:33:44:Time Elapsed (s):37 of 180
22:33:45:Time Elapsed (s):38 of 180
22:33:46:Time Elapsed (s):39 of 180
22:33:47:Time Elapsed (s):40 of 180
22:33:48:Time Elapsed (s):41 of 180
22:33:49:Time Elapsed (s):42 of 180
22:33:50:Time Elapsed (s):43 of 180
22:33:51:Time Elapsed (s):44 of 180
22:33:52:Time Elapsed (s):45 of 180
22:33:53:Time Elapsed (s):46 of 180
22:33:54:Time Elapsed (s):47 of 180
22:33:55:Time Elapsed (s):48 of 180
22:33:56:Time Elapsed (s):49 of 180
