Log started on 2/4/2022
Connected to Server at 0:36:45
0:58:22:Device Configured
UID: PA_P1_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
0:58:23:Recording Started
0:58:24:Time Elapsed (s):1 of 180
0:58:25:Time Elapsed (s):2 of 180
0:58:26:Time Elapsed (s):3 of 180
0:58:27:Time Elapsed (s):4 of 180
0:58:28:Time Elapsed (s):5 of 180
0:58:29:Time Elapsed (s):6 of 180
0:58:30:Time Elapsed (s):7 of 180
0:58:31:Time Elapsed (s):8 of 180
0:58:32:Time Elapsed (s):9 of 180
0:58:33:Time Elapsed (s):10 of 180
0:58:34:Time Elapsed (s):11 of 180
0:58:35:Time Elapsed (s):12 of 180
0:58:36:Time Elapsed (s):13 of 180
0:58:37:Time Elapsed (s):14 of 180
0:58:38:Time Elapsed (s):15 of 180
0:58:39:Time Elapsed (s):16 of 180
0:58:40:Time Elapsed (s):17 of 180
0:58:41:Time Elapsed (s):18 of 180
0:58:42:Time Elapsed (s):19 of 180
0:58:43:Time Elapsed (s):20 of 180
0:58:44:Time Elapsed (s):21 of 180
0:58:45:Time Elapsed (s):22 of 180
0:58:46:Time Elapsed (s):23 of 180
0:58:47:Time Elapsed (s):24 of 180
0:58:48:Time Elapsed (s):25 of 180
0:58:49:Time Elapsed (s):26 of 180
0:58:50:Time Elapsed (s):27 of 180
0:58:51:Time Elapsed (s):28 of 180
0:58:52:Time Elapsed (s):29 of 180
0:58:53:Time Elapsed (s):30 of 180
0:58:54:Time Elapsed (s):31 of 180
0:58:55:Time Elapsed (s):32 of 180
0:58:56:Time Elapsed (s):33 of 180
0:58:57:Time Elapsed (s):34 of 180
0:58:58:Time Elapsed (s):35 of 180
0:58:59:Time Elapsed (s):36 of 180
