Log started on 2/4/2022
Connected to Server at 0:36:45
0:53:48:Device Configured
UID: SAKPPA_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
0:53:50:Recording Started
0:53:51:Time Elapsed (s):1 of 180
0:53:52:Time Elapsed (s):2 of 180
0:53:53:Time Elapsed (s):3 of 180
0:53:54:Time Elapsed (s):4 of 180
0:53:55:Time Elapsed (s):5 of 180
0:53:56:Time Elapsed (s):6 of 180
0:53:57:Time Elapsed (s):7 of 180
0:53:58:Time Elapsed (s):8 of 180
0:53:59:Time Elapsed (s):9 of 180
0:54:0:Time Elapsed (s):10 of 180
0:54:1:Time Elapsed (s):11 of 180
0:54:2:Time Elapsed (s):12 of 180
0:54:3:Time Elapsed (s):13 of 180
0:54:4:Time Elapsed (s):14 of 180
0:54:5:Time Elapsed (s):15 of 180
0:54:6:Time Elapsed (s):16 of 180
0:54:7:Time Elapsed (s):17 of 180
0:54:8:Time Elapsed (s):18 of 180
0:54:9:Time Elapsed (s):19 of 180
0:54:10:Time Elapsed (s):20 of 180
0:54:11:Time Elapsed (s):21 of 180
0:54:12:Time Elapsed (s):22 of 180
0:54:13:Time Elapsed (s):23 of 180
0:54:14:Time Elapsed (s):24 of 180
0:54:15:Time Elapsed (s):25 of 180
0:54:16:Time Elapsed (s):26 of 180
0:54:17:Time Elapsed (s):27 of 180
0:54:18:Time Elapsed (s):28 of 180
0:54:19:Time Elapsed (s):29 of 180
0:54:20:Time Elapsed (s):30 of 180
0:54:21:Time Elapsed (s):31 of 180
0:54:22:Time Elapsed (s):32 of 180
0:54:23:Time Elapsed (s):33 of 180
0:54:24:Time Elapsed (s):34 of 180
0:54:25:Time Elapsed (s):35 of 180
0:54:26:Time Elapsed (s):36 of 180
0:54:27:Time Elapsed (s):37 of 180
0:54:28:Time Elapsed (s):38 of 180
0:54:29:Time Elapsed (s):39 of 180
0:54:30:Time Elapsed (s):40 of 180
0:54:31:Time Elapsed (s):41 of 180
0:54:32:Time Elapsed (s):42 of 180
0:54:33:Time Elapsed (s):43 of 180
0:54:34:Time Elapsed (s):44 of 180
0:54:35:Time Elapsed (s):45 of 180
0:54:36:Time Elapsed (s):46 of 180
0:54:37:Time Elapsed (s):47 of 180
0:54:38:Time Elapsed (s):48 of 180
0:54:39:Time Elapsed (s):49 of 180
0:54:40:Time Elapsed (s):50 of 180
0:54:41:Time Elapsed (s):51 of 180
0:54:42:Time Elapsed (s):52 of 180
0:54:43:Time Elapsed (s):53 of 180
0:54:44:Time Elapsed (s):54 of 180
0:54:45:Time Elapsed (s):55 of 180
0:54:46:Time Elapsed (s):56 of 180
0:54:47:Time Elapsed (s):57 of 180
0:54:48:Time Elapsed (s):58 of 180
0:54:49:Time Elapsed (s):59 of 180
0:54:50:Time Elapsed (s):60 of 180
0:54:51:Time Elapsed (s):61 of 180
0:54:52:Time Elapsed (s):62 of 180
0:54:53:Time Elapsed (s):63 of 180
0:54:54:Time Elapsed (s):64 of 180
0:54:55:Time Elapsed (s):65 of 180
0:54:56:Time Elapsed (s):66 of 180
0:54:57:Time Elapsed (s):67 of 180
0:54:58:Time Elapsed (s):68 of 180
0:54:59:Time Elapsed (s):69 of 180
0:55:0:Time Elapsed (s):70 of 180
0:55:1:Time Elapsed (s):71 of 180
0:55:2:Time Elapsed (s):72 of 180
0:55:3:Time Elapsed (s):73 of 180
0:55:4:Time Elapsed (s):74 of 180
0:55:5:Time Elapsed (s):75 of 180
0:55:6:Time Elapsed (s):76 of 180
0:55:7:Time Elapsed (s):77 of 180
0:55:8:Time Elapsed (s):78 of 180
0:55:9:Time Elapsed (s):79 of 180
0:55:10:Time Elapsed (s):80 of 180
0:55:11:Time Elapsed (s):81 of 180
0:55:12:Time Elapsed (s):82 of 180
0:55:13:Time Elapsed (s):83 of 180
0:55:14:Time Elapsed (s):84 of 180
0:55:15:Time Elapsed (s):85 of 180
0:55:16:Time Elapsed (s):86 of 180
0:55:17:Time Elapsed (s):87 of 180
0:55:18:Time Elapsed (s):88 of 180
0:55:19:Time Elapsed (s):89 of 180
0:55:20:Time Elapsed (s):90 of 180
0:55:21:Time Elapsed (s):91 of 180
0:55:22:Time Elapsed (s):92 of 180
0:55:23:Time Elapsed (s):93 of 180
0:55:24:Time Elapsed (s):94 of 180
0:55:25:Time Elapsed (s):95 of 180
0:55:26:Time Elapsed (s):96 of 180
0:55:27:Time Elapsed (s):97 of 180
0:55:28:Time Elapsed (s):98 of 180
0:55:29:Time Elapsed (s):99 of 180
0:55:30:Time Elapsed (s):100 of 180
0:55:31:Time Elapsed (s):101 of 180
0:55:32:Time Elapsed (s):102 of 180
0:55:33:Time Elapsed (s):103 of 180
0:55:34:Time Elapsed (s):104 of 180
0:55:35:Time Elapsed (s):105 of 180
0:55:36:Time Elapsed (s):106 of 180
0:55:37:Time Elapsed (s):107 of 180
0:55:38:Time Elapsed (s):108 of 180
0:55:39:Time Elapsed (s):109 of 180
0:55:40:Time Elapsed (s):110 of 180
0:55:41:Time Elapsed (s):111 of 180
0:55:42:Time Elapsed (s):112 of 180
0:55:43:Time Elapsed (s):113 of 180
0:55:44:Time Elapsed (s):114 of 180
0:55:45:Time Elapsed (s):115 of 180
0:55:46:Time Elapsed (s):116 of 180
0:55:47:Time Elapsed (s):117 of 180
0:55:48:Time Elapsed (s):118 of 180
0:55:49:Time Elapsed (s):119 of 180
0:55:50:Time Elapsed (s):120 of 180
0:55:51:Time Elapsed (s):121 of 180
0:55:52:Time Elapsed (s):122 of 180
0:55:53:Time Elapsed (s):123 of 180
0:55:54:Time Elapsed (s):124 of 180
0:55:55:Time Elapsed (s):125 of 180
0:55:56:Time Elapsed (s):126 of 180
