Log started on 2/3/2022
Connected to Server at 16:45:39
17:8:47:Device Configured
UID: SAKP_P2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
17:8:48:Recording Started
17:8:49:Time Elapsed (s):1 of 180
17:8:50:Time Elapsed (s):2 of 180
17:8:51:Time Elapsed (s):3 of 180
17:8:52:Time Elapsed (s):4 of 180
17:8:53:Time Elapsed (s):5 of 180
17:8:54:Time Elapsed (s):6 of 180
17:8:55:Time Elapsed (s):7 of 180
17:8:56:Time Elapsed (s):8 of 180
17:8:57:Time Elapsed (s):9 of 180
17:8:58:Time Elapsed (s):10 of 180
17:8:59:Time Elapsed (s):11 of 180
17:9:0:Time Elapsed (s):12 of 180
17:9:1:Time Elapsed (s):13 of 180
17:9:2:Time Elapsed (s):14 of 180
17:9:3:Time Elapsed (s):15 of 180
17:9:4:Time Elapsed (s):16 of 180
17:9:5:Time Elapsed (s):17 of 180
17:9:6:Time Elapsed (s):18 of 180
17:9:7:Time Elapsed (s):19 of 180
17:9:8:Time Elapsed (s):20 of 180
17:9:9:Time Elapsed (s):21 of 180
17:9:10:Time Elapsed (s):22 of 180
17:9:11:Time Elapsed (s):23 of 180
17:9:12:Time Elapsed (s):24 of 180
17:9:13:Time Elapsed (s):25 of 180
17:9:14:Time Elapsed (s):26 of 180
17:9:15:Time Elapsed (s):27 of 180
17:9:16:Time Elapsed (s):28 of 180
17:9:17:Time Elapsed (s):29 of 180
17:9:18:Time Elapsed (s):30 of 180
17:9:19:Time Elapsed (s):31 of 180
17:9:20:Time Elapsed (s):32 of 180
17:9:21:Time Elapsed (s):33 of 180
17:9:22:Time Elapsed (s):34 of 180
17:9:23:Time Elapsed (s):35 of 180
17:9:24:Time Elapsed (s):36 of 180
17:9:25:Time Elapsed (s):37 of 180
17:9:26:Time Elapsed (s):38 of 180
17:9:27:Time Elapsed (s):39 of 180
17:9:28:Time Elapsed (s):40 of 180
17:9:29:Time Elapsed (s):41 of 180
17:9:30:Time Elapsed (s):42 of 180
17:9:31:Time Elapsed (s):43 of 180
17:9:32:Time Elapsed (s):44 of 180
17:9:33:Time Elapsed (s):45 of 180
17:9:34:Time Elapsed (s):46 of 180
17:9:35:Time Elapsed (s):47 of 180
17:9:36:Time Elapsed (s):48 of 180
17:9:37:Time Elapsed (s):49 of 180
17:9:38:Time Elapsed (s):50 of 180
17:9:39:Time Elapsed (s):51 of 180
17:9:40:Time Elapsed (s):52 of 180
17:9:41:Time Elapsed (s):53 of 180
17:9:42:Time Elapsed (s):54 of 180
17:9:43:Time Elapsed (s):55 of 180
17:9:44:Time Elapsed (s):56 of 180
17:9:45:Time Elapsed (s):57 of 180
17:9:46:Time Elapsed (s):58 of 180
17:9:47:Time Elapsed (s):59 of 180
17:9:48:Time Elapsed (s):60 of 180
17:9:49:Time Elapsed (s):61 of 180
17:9:50:Time Elapsed (s):62 of 180
17:9:51:Time Elapsed (s):63 of 180
17:9:52:Time Elapsed (s):64 of 180
17:9:53:Time Elapsed (s):65 of 180
17:9:54:Time Elapsed (s):66 of 180
17:9:55:Time Elapsed (s):67 of 180
17:9:56:Time Elapsed (s):68 of 180
17:9:57:Time Elapsed (s):69 of 180
17:9:58:Time Elapsed (s):70 of 180
17:9:59:Time Elapsed (s):71 of 180
17:10:0:Time Elapsed (s):72 of 180
17:10:1:Time Elapsed (s):73 of 180
17:10:2:Time Elapsed (s):74 of 180
17:10:3:Time Elapsed (s):75 of 180
17:10:4:Time Elapsed (s):76 of 180
17:10:5:Time Elapsed (s):77 of 180
17:10:6:Time Elapsed (s):78 of 180
17:10:7:Time Elapsed (s):79 of 180
17:10:8:Time Elapsed (s):80 of 180
17:10:9:Time Elapsed (s):81 of 180
17:10:10:Time Elapsed (s):82 of 180
17:10:11:Time Elapsed (s):83 of 180
17:10:12:Time Elapsed (s):84 of 180
