Log started on 2/3/2022
Connected to Server at 21:39:53
21:40:4:Device Configured
UID: SAPAEC_P2_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
21:40:5:Recording Started
21:40:6:Time Elapsed (s):1 of 180
21:40:7:Time Elapsed (s):2 of 180
21:40:8:Time Elapsed (s):3 of 180
21:40:9:Time Elapsed (s):4 of 180
21:40:10:Time Elapsed (s):5 of 180
21:40:11:Time Elapsed (s):6 of 180
21:40:12:Time Elapsed (s):7 of 180
21:40:13:Time Elapsed (s):8 of 180
21:40:14:Time Elapsed (s):9 of 180
21:40:15:Time Elapsed (s):10 of 180
21:40:16:Time Elapsed (s):11 of 180
21:40:17:Time Elapsed (s):12 of 180
21:40:18:Time Elapsed (s):13 of 180
21:40:19:Time Elapsed (s):14 of 180
21:40:20:Time Elapsed (s):15 of 180
21:40:21:Time Elapsed (s):16 of 180
21:40:22:Time Elapsed (s):17 of 180
21:40:23:Time Elapsed (s):18 of 180
21:40:24:Time Elapsed (s):19 of 180
21:40:25:Time Elapsed (s):20 of 180
21:40:26:Time Elapsed (s):21 of 180
21:40:27:Time Elapsed (s):22 of 180
21:40:28:Time Elapsed (s):23 of 180
21:40:29:Time Elapsed (s):24 of 180
21:40:30:Time Elapsed (s):25 of 180
21:40:31:Time Elapsed (s):26 of 180
21:40:32:Time Elapsed (s):27 of 180
21:40:33:Time Elapsed (s):28 of 180
21:40:34:Time Elapsed (s):29 of 180
21:40:35:Time Elapsed (s):30 of 180
21:40:36:Time Elapsed (s):31 of 180
21:40:37:Time Elapsed (s):32 of 180
21:40:38:Time Elapsed (s):33 of 180
21:40:39:Time Elapsed (s):34 of 180
21:40:40:Time Elapsed (s):35 of 180
21:40:41:Time Elapsed (s):36 of 180
21:40:42:Time Elapsed (s):37 of 180
21:40:43:Time Elapsed (s):38 of 180
21:40:44:Time Elapsed (s):39 of 180
21:40:45:Time Elapsed (s):40 of 180
21:40:46:Time Elapsed (s):41 of 180
21:40:47:Time Elapsed (s):42 of 180
21:40:48:Time Elapsed (s):43 of 180
21:40:49:Time Elapsed (s):44 of 180
21:40:50:Time Elapsed (s):45 of 180
21:40:51:Time Elapsed (s):46 of 180
21:40:52:Time Elapsed (s):47 of 180
21:40:53:Time Elapsed (s):48 of 180
21:40:54:Time Elapsed (s):49 of 180
21:40:55:Time Elapsed (s):50 of 180
21:40:56:Time Elapsed (s):51 of 180
21:40:57:Time Elapsed (s):52 of 180
21:40:58:Time Elapsed (s):53 of 180
21:40:59:Time Elapsed (s):54 of 180
21:41:0:Time Elapsed (s):55 of 180
21:41:1:Time Elapsed (s):56 of 180
21:41:2:Time Elapsed (s):57 of 180
21:41:3:Time Elapsed (s):58 of 180
21:41:4:Time Elapsed (s):59 of 180
21:41:5:Time Elapsed (s):60 of 180
21:41:6:Time Elapsed (s):61 of 180
21:41:7:Time Elapsed (s):62 of 180
21:41:8:Time Elapsed (s):63 of 180
21:41:9:Time Elapsed (s):64 of 180
21:41:10:Time Elapsed (s):65 of 180
21:41:11:Time Elapsed (s):66 of 180
21:41:12:Time Elapsed (s):67 of 180
21:41:13:Time Elapsed (s):68 of 180
21:41:14:Time Elapsed (s):69 of 180
21:41:15:Time Elapsed (s):70 of 180
21:41:16:Time Elapsed (s):71 of 180
21:41:17:Time Elapsed (s):72 of 180
21:41:18:Time Elapsed (s):73 of 180
21:41:19:Time Elapsed (s):74 of 180
21:41:20:Time Elapsed (s):75 of 180
21:41:21:Time Elapsed (s):76 of 180
21:41:22:Time Elapsed (s):77 of 180
21:41:23:Time Elapsed (s):78 of 180
21:41:24:Time Elapsed (s):79 of 180
21:41:25:Time Elapsed (s):80 of 180
21:41:26:Time Elapsed (s):81 of 180
21:41:27:Time Elapsed (s):82 of 180
21:41:28:Time Elapsed (s):83 of 180
21:41:29:Time Elapsed (s):84 of 180
21:41:30:Time Elapsed (s):85 of 180
21:41:31:Time Elapsed (s):86 of 180
21:41:32:Time Elapsed (s):87 of 180
21:41:33:Time Elapsed (s):88 of 180
21:41:34:Time Elapsed (s):89 of 180
21:41:35:Time Elapsed (s):90 of 180
21:41:36:Time Elapsed (s):91 of 180
21:41:37:Time Elapsed (s):92 of 180
21:41:38:Time Elapsed (s):93 of 180
21:41:39:Time Elapsed (s):94 of 180
21:41:40:Time Elapsed (s):95 of 180
21:41:41:Time Elapsed (s):96 of 180
21:41:42:Time Elapsed (s):97 of 180
21:41:43:Time Elapsed (s):98 of 180
21:41:44:Time Elapsed (s):99 of 180
21:41:45:Time Elapsed (s):100 of 180
21:41:46:Time Elapsed (s):101 of 180
21:41:47:Time Elapsed (s):102 of 180
21:41:48:Time Elapsed (s):103 of 180
21:41:49:Time Elapsed (s):104 of 180
21:41:50:Time Elapsed (s):105 of 180
21:41:51:Time Elapsed (s):106 of 180
21:41:52:Time Elapsed (s):107 of 180
21:41:53:Time Elapsed (s):108 of 180
21:41:54:Time Elapsed (s):109 of 180
21:41:55:Time Elapsed (s):110 of 180
21:41:56:Time Elapsed (s):111 of 180
21:41:57:Time Elapsed (s):112 of 180
21:41:58:Time Elapsed (s):113 of 180
21:41:59:Time Elapsed (s):114 of 180
21:42:0:Time Elapsed (s):115 of 180
21:42:1:Time Elapsed (s):116 of 180
21:42:2:Time Elapsed (s):117 of 180
21:42:3:Time Elapsed (s):118 of 180
21:42:4:Time Elapsed (s):119 of 180
21:42:5:Time Elapsed (s):120 of 180
21:42:6:Time Elapsed (s):121 of 180
21:42:7:Time Elapsed (s):122 of 180
21:42:8:Time Elapsed (s):123 of 180
21:42:9:Time Elapsed (s):124 of 180
21:42:10:Time Elapsed (s):125 of 180
21:42:11:Time Elapsed (s):126 of 180
21:42:12:Time Elapsed (s):127 of 180
21:42:13:Time Elapsed (s):128 of 180
21:42:14:Time Elapsed (s):129 of 180
21:42:15:Time Elapsed (s):130 of 180
21:42:16:Time Elapsed (s):131 of 180
21:42:17:Time Elapsed (s):132 of 180
21:42:18:Time Elapsed (s):133 of 180
21:42:19:Time Elapsed (s):134 of 180
21:42:20:Time Elapsed (s):135 of 180
21:42:21:Time Elapsed (s):136 of 180
21:42:22:Time Elapsed (s):137 of 180
21:42:23:Time Elapsed (s):138 of 180
21:42:24:Time Elapsed (s):139 of 180
21:42:25:Time Elapsed (s):140 of 180
21:42:26:Time Elapsed (s):141 of 180
21:42:27:Time Elapsed (s):142 of 180
21:42:28:Time Elapsed (s):143 of 180
21:42:29:Time Elapsed (s):144 of 180
21:42:30:Time Elapsed (s):145 of 180
21:42:31:Time Elapsed (s):146 of 180
21:42:32:Time Elapsed (s):147 of 180
21:42:33:Time Elapsed (s):148 of 180
21:42:34:Time Elapsed (s):149 of 180
21:42:35:Time Elapsed (s):150 of 180
21:42:36:Time Elapsed (s):151 of 180
21:42:37:Time Elapsed (s):152 of 180
21:42:38:Time Elapsed (s):153 of 180
21:42:39:Time Elapsed (s):154 of 180
21:42:40:Time Elapsed (s):155 of 180
21:42:41:Time Elapsed (s):156 of 180
21:42:42:Time Elapsed (s):157 of 180
21:42:43:Time Elapsed (s):158 of 180
21:42:44:Time Elapsed (s):159 of 180
21:42:45:Time Elapsed (s):160 of 180
21:42:46:Time Elapsed (s):161 of 180
21:42:47:Time Elapsed (s):162 of 180
21:42:48:Time Elapsed (s):163 of 180
21:42:49:Time Elapsed (s):164 of 180
21:42:50:Time Elapsed (s):165 of 180
21:42:51:Time Elapsed (s):166 of 180
