Log started on 2/4/2022
Connected to Server at 23:32:1
0:9:16:Device Configured
UID: SAPA_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
0:9:17:Recording Started
0:9:18:Time Elapsed (s):1 of 180
0:9:19:Time Elapsed (s):2 of 180
0:9:20:Time Elapsed (s):3 of 180
0:9:21:Time Elapsed (s):4 of 180
0:9:22:Time Elapsed (s):5 of 180
0:9:23:Time Elapsed (s):6 of 180
0:9:24:Time Elapsed (s):7 of 180
0:9:25:Time Elapsed (s):8 of 180
0:9:26:Time Elapsed (s):9 of 180
0:9:27:Time Elapsed (s):10 of 180
0:9:28:Time Elapsed (s):11 of 180
0:9:29:Time Elapsed (s):12 of 180
0:9:30:Time Elapsed (s):13 of 180
0:9:31:Time Elapsed (s):14 of 180
0:9:32:Time Elapsed (s):15 of 180
0:9:33:Time Elapsed (s):16 of 180
0:9:34:Time Elapsed (s):17 of 180
0:9:35:Time Elapsed (s):18 of 180
0:9:36:Time Elapsed (s):19 of 180
0:9:37:Time Elapsed (s):20 of 180
0:9:38:Time Elapsed (s):21 of 180
0:9:39:Time Elapsed (s):22 of 180
0:9:40:Time Elapsed (s):23 of 180
0:9:41:Time Elapsed (s):24 of 180
0:9:42:Time Elapsed (s):25 of 180
0:9:43:Time Elapsed (s):26 of 180
0:9:44:Time Elapsed (s):27 of 180
0:9:45:Time Elapsed (s):28 of 180
0:9:46:Time Elapsed (s):29 of 180
0:9:47:Time Elapsed (s):30 of 180
0:9:48:Time Elapsed (s):31 of 180
0:9:49:Time Elapsed (s):32 of 180
0:9:50:Time Elapsed (s):33 of 180
0:9:51:Time Elapsed (s):34 of 180
0:9:52:Time Elapsed (s):35 of 180
0:9:53:Time Elapsed (s):36 of 180
0:9:54:Time Elapsed (s):37 of 180
0:9:55:Time Elapsed (s):38 of 180
0:9:56:Time Elapsed (s):39 of 180
0:9:57:Time Elapsed (s):40 of 180
0:9:58:Time Elapsed (s):41 of 180
0:9:59:Time Elapsed (s):42 of 180
0:10:0:Time Elapsed (s):43 of 180
0:10:1:Time Elapsed (s):44 of 180
0:10:2:Time Elapsed (s):45 of 180
0:10:3:Time Elapsed (s):46 of 180
0:10:4:Time Elapsed (s):47 of 180
0:10:5:Time Elapsed (s):48 of 180
0:10:6:Time Elapsed (s):49 of 180
0:10:7:Time Elapsed (s):50 of 180
0:10:8:Time Elapsed (s):51 of 180
0:10:9:Time Elapsed (s):52 of 180
0:10:10:Time Elapsed (s):53 of 180
0:10:11:Time Elapsed (s):54 of 180
0:10:12:Time Elapsed (s):55 of 180
0:10:13:Time Elapsed (s):56 of 180
0:10:14:Time Elapsed (s):57 of 180
0:10:15:Time Elapsed (s):58 of 180
0:10:16:Time Elapsed (s):59 of 180
0:10:17:Time Elapsed (s):60 of 180
0:10:18:Time Elapsed (s):61 of 180
0:10:19:Time Elapsed (s):62 of 180
0:10:20:Time Elapsed (s):63 of 180
0:10:21:Time Elapsed (s):64 of 180
0:10:22:Time Elapsed (s):65 of 180
0:10:23:Time Elapsed (s):66 of 180
0:10:24:Time Elapsed (s):67 of 180
0:10:25:Time Elapsed (s):68 of 180
0:10:26:Time Elapsed (s):69 of 180
0:10:27:Time Elapsed (s):70 of 180
0:10:28:Time Elapsed (s):71 of 180
0:10:29:Time Elapsed (s):72 of 180
0:10:30:Time Elapsed (s):73 of 180
0:10:31:Time Elapsed (s):74 of 180
0:10:32:Time Elapsed (s):75 of 180
0:10:33:Time Elapsed (s):76 of 180
0:10:34:Time Elapsed (s):77 of 180
0:10:35:Time Elapsed (s):78 of 180
0:10:36:Time Elapsed (s):79 of 180
0:10:37:Time Elapsed (s):80 of 180
0:10:38:Time Elapsed (s):81 of 180
0:10:39:Time Elapsed (s):82 of 180
0:10:40:Time Elapsed (s):83 of 180
0:10:41:Time Elapsed (s):84 of 180
0:10:42:Time Elapsed (s):85 of 180
0:10:43:Time Elapsed (s):86 of 180
0:10:44:Time Elapsed (s):87 of 180
0:10:45:Time Elapsed (s):88 of 180
0:10:46:Time Elapsed (s):89 of 180
0:10:47:Time Elapsed (s):90 of 180
0:10:48:Time Elapsed (s):91 of 180
0:10:49:Time Elapsed (s):92 of 180
0:10:50:Time Elapsed (s):93 of 180
0:10:51:Time Elapsed (s):94 of 180
0:10:52:Time Elapsed (s):95 of 180
0:10:53:Time Elapsed (s):96 of 180
0:10:54:Time Elapsed (s):97 of 180
0:10:55:Time Elapsed (s):98 of 180
0:10:56:Time Elapsed (s):99 of 180
0:10:57:Time Elapsed (s):100 of 180
0:10:58:Time Elapsed (s):101 of 180
0:10:59:Time Elapsed (s):102 of 180
0:11:0:Time Elapsed (s):103 of 180
0:11:1:Time Elapsed (s):104 of 180
0:11:2:Time Elapsed (s):105 of 180
0:11:3:Time Elapsed (s):106 of 180
0:11:4:Time Elapsed (s):107 of 180
0:11:5:Time Elapsed (s):108 of 180
0:11:6:Time Elapsed (s):109 of 180
0:11:7:Time Elapsed (s):110 of 180
0:11:8:Time Elapsed (s):111 of 180
0:11:9:Time Elapsed (s):112 of 180
0:11:10:Time Elapsed (s):113 of 180
0:11:11:Time Elapsed (s):114 of 180
0:11:12:Time Elapsed (s):115 of 180
0:11:13:Time Elapsed (s):116 of 180
0:11:14:Time Elapsed (s):117 of 180
0:11:15:Time Elapsed (s):118 of 180
0:11:16:Time Elapsed (s):119 of 180
0:11:17:Time Elapsed (s):120 of 180
0:11:18:Time Elapsed (s):121 of 180
0:11:19:Time Elapsed (s):122 of 180
0:11:20:Time Elapsed (s):123 of 180
0:11:21:Time Elapsed (s):124 of 180
0:11:22:Time Elapsed (s):125 of 180
0:11:23:Time Elapsed (s):126 of 180
0:11:24:Time Elapsed (s):127 of 180
0:11:25:Time Elapsed (s):128 of 180
0:11:26:Time Elapsed (s):129 of 180
0:11:27:Time Elapsed (s):130 of 180
0:11:28:Time Elapsed (s):131 of 180
0:11:29:Time Elapsed (s):132 of 180
0:11:30:Time Elapsed (s):133 of 180
0:11:31:Time Elapsed (s):134 of 180
0:11:32:Time Elapsed (s):135 of 180
0:11:33:Time Elapsed (s):136 of 180
0:11:34:Time Elapsed (s):137 of 180
0:11:35:Time Elapsed (s):138 of 180
0:11:36:Time Elapsed (s):139 of 180
0:11:37:Time Elapsed (s):140 of 180
0:11:38:Time Elapsed (s):141 of 180
0:11:39:Time Elapsed (s):142 of 180
0:11:40:Time Elapsed (s):143 of 180
0:11:41:Time Elapsed (s):144 of 180
0:11:42:Time Elapsed (s):145 of 180
0:11:43:Time Elapsed (s):146 of 180
0:11:44:Time Elapsed (s):147 of 180
0:11:45:Time Elapsed (s):148 of 180
0:11:46:Time Elapsed (s):149 of 180
0:11:47:Time Elapsed (s):150 of 180
0:11:48:Time Elapsed (s):151 of 180
0:11:49:Time Elapsed (s):152 of 180
0:11:50:Time Elapsed (s):153 of 180
0:11:51:Time Elapsed (s):154 of 180
0:11:52:Time Elapsed (s):155 of 180
0:11:53:Time Elapsed (s):156 of 180
0:11:54:Time Elapsed (s):157 of 180
0:11:55:Time Elapsed (s):158 of 180
0:11:56:Time Elapsed (s):159 of 180
0:11:57:Time Elapsed (s):160 of 180
0:11:58:Time Elapsed (s):161 of 180
0:11:59:Time Elapsed (s):162 of 180
0:12:0:Time Elapsed (s):163 of 180
0:12:1:Time Elapsed (s):164 of 180
0:12:2:Time Elapsed (s):165 of 180
0:12:3:Time Elapsed (s):166 of 180
0:12:4:Time Elapsed (s):167 of 180
0:12:5:Time Elapsed (s):168 of 180
0:12:6:Time Elapsed (s):169 of 180
0:12:7:Time Elapsed (s):170 of 180
0:12:8:Time Elapsed (s):171 of 180
0:12:9:Time Elapsed (s):172 of 180
0:12:10:Time Elapsed (s):173 of 180
0:12:11:Time Elapsed (s):174 of 180
0:12:12:Time Elapsed (s):175 of 180
0:12:13:Time Elapsed (s):176 of 180
0:12:14:Time Elapsed (s):177 of 180
0:12:15:Time Elapsed (s):178 of 180
0:12:16:Time Elapsed (s):179 of 180
0:12:17:Time Elapsed (s):180 of 180
0:12:17:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
