Samples,Xpos,Ypos,Pow,NebMode
0,6.213661686883803,-5.822192275324724,4.713077937678186,0
1,6.2289726653378565,-5.827287859383996,4.728373472624906,0
2,6.239179984307231,-5.852765779680353,4.738570495922723,0
3,6.310631217092833,-5.934295124628693,4.82014668230525,0
4,6.581125169781181,-6.153405239177358,5.05977672980392,0
5,6.300423898123459,-5.913912788391608,4.7793585891139845,0
6,6.239179984307231,-5.847670195621081,4.738570495922723,0
7,6.218765346368489,-5.822192275324724,4.718176449327093,0
8,6.218765346368489,-5.822192275324724,4.718176449327093,0
9,6.290216579154091,-5.908817204332337,4.789555612411803,0
10,6.902655717316385,-6.48461820302999,5.314702312249313,0
11,6.866930100923586,-6.454044698674363,5.2841112423558645,0
12,6.8720337604082715,-6.464235866792906,5.289209754004776,0
13,6.902655717316385,-6.48461820302999,5.3096038006004065,0
14,6.907759376801074,-6.494809371148534,5.314702312249313,0
15,6.234076324822546,-5.832383443443268,4.728373472624906,0
16,6.2238690058531745,-5.827287859383996,4.723274960975999,0
17,6.866930100923586,-6.448949114615092,5.279012730706958,0
18,6.892448398347014,-6.47952261897072,5.3045052889515,0
19,6.8975520578317,-6.48461820302999,5.3096038006004065,0
20,6.213661686883803,-5.817096691265454,4.713077937678186,0
21,6.239179984307231,-5.84257461156181,4.733471984273816,0
22,6.820997165561412,-6.3878021059038375,5.222929102568973,0
23,6.8720337604082715,-6.459140282733635,5.2841112423558645,0
24,6.8975520578317,-6.47952261897072,5.3096038006004065,0
25,6.882241079377639,-6.464235866792906,5.29940677730259,0
26,6.218765346368489,-5.817096691265454,4.713077937678186,0
27,6.208558027399114,-5.806905523146911,4.707979426029274,0
28,6.234076324822546,-5.84257461156181,4.733471984273816,0
29,6.882241079377639,-6.464235866792906,5.294308265653683,0
30,6.785271549168609,-6.367419769666752,5.212732079271154,0
31,6.632161764628037,-6.224743416007156,5.064875241452826,0
32,6.57091785081181,-6.158500823236629,5.018988636612658,0
33,6.576021510296496,-6.158500823236629,5.0036931016659345,0
34,6.581125169781181,-6.189074327592257,5.039382683208288,0
35,6.621954445658666,-6.224743416007156,5.069973753101733,0
36,6.708716656898325,-6.285890424718411,5.136254404537537,0
37,6.74954593277581,-6.347037433429667,5.177042497728799,0
38,6.780167889683927,-6.372515353726023,5.207633567622247,0
39,6.66788738102084,-6.275699256599869,5.115860357941905,0
40,6.519881255964954,-6.138118486999544,4.978200543421391,0
41,6.621954445658666,-6.178883159473714,5.039382683208288,0
42,6.877137419892957,-6.459140282733635,5.289209754004776,0
43,6.8975520578317,-6.47952261897072,5.3096038006004065,0
44,6.887344738862325,-6.469331450852177,5.29940677730259,0
45,6.2238690058531745,-5.832383443443268,4.723274960975999,0
46,6.213661686883803,-5.817096691265454,4.713077937678186,0
47,6.8465154629848435,-6.428566778378007,5.263717195760233,0
48,6.882241079377639,-6.464235866792906,5.294308265653683,0
49,6.892448398347014,-6.474427034911448,5.3045052889515,0
50,6.2238690058531745,-5.822192275324724,4.723274960975999,0
51,6.2238690058531745,-5.827287859383996,4.723274960975999,0
52,6.836308144015469,-6.4234711943187355,5.248421660813509,0
53,6.831204484530783,-6.428566778378007,5.248421660813509,0
54,6.907759376801074,-6.494809371148534,5.31980082389822,0
55,6.8975520578317,-6.47952261897072,5.3096038006004065,0
56,6.8720337604082715,-6.459140282733635,5.294308265653683,0
57,6.28000926018472,-5.878243699976709,4.769161565816171,0
58,6.218765346368489,-5.822192275324724,4.718176449327093,0
59,6.2289726653378565,-5.827287859383996,4.728373472624906,0
60,6.244283643791917,-5.852765779680353,4.743669007571629,0
61,6.8261008250460975,-6.377610937785294,5.222929102568973,0
62,6.887344738862325,-6.469331450852177,5.29940677730259,0
63,6.866930100923586,-6.448949114615092,5.279012730706958,0
64,6.8465154629848435,-6.433662362437278,5.258618684111326,0
65,6.877137419892957,-6.464235866792906,5.294308265653683,0
66,6.892448398347014,-6.47952261897072,5.3045052889515,0
67,6.902655717316385,-6.48461820302999,5.3096038006004065,0
68,6.8975520578317,-6.48461820302999,5.3096038006004065,0
69,6.887344738862325,-6.469331450852177,5.29940677730259,0
70,6.8261008250460975,-6.413280026200193,5.243323149164603,0
71,6.8720337604082715,-6.454044698674363,5.289209754004776,0
72,6.239179984307231,-5.832383443443268,4.728373472624906,0
73,6.74954593277581,-6.367419769666752,5.192338032675522,0
74,6.902655717316385,-6.48461820302999,5.314702312249313,0
75,6.805686187107355,-6.3878021059038375,5.228027614217879,0
76,6.213661686883803,-5.817096691265454,4.713077937678186,0
77,6.8975520578317,-6.47952261897072,5.3096038006004065,0
78,6.820997165561412,-6.413280026200193,5.238224637515696,0
79,6.2238690058531745,-5.827287859383996,4.723274960975999,0
80,6.892448398347014,-6.474427034911448,5.3045052889515,0
81,6.759753251745181,-6.352133017488938,5.187239521026616,0
82,6.208558027399114,-5.812001107206182,4.713077937678186,0
83,6.887344738862325,-6.469331450852177,5.29940677730259,0
84,6.47394832060278,-6.097353814525374,4.937412450230131,0
85,6.208558027399114,-5.812001107206182,4.707979426029274,0
86,6.8720337604082715,-6.464235866792906,5.289209754004776,0
87,6.535192234419007,-6.117736150762459,4.973102031772484,0
88,6.325942195546887,-5.908817204332337,4.8048511473585265,0
89,6.285112919669405,-5.908817204332337,4.784457100762896,0
90,6.887344738862325,-6.469331450852177,5.29940677730259,0
91,6.877137419892957,-6.469331450852177,5.289209754004776,0
92,6.259594622245977,-5.873148115917438,4.758964542518353,0
93,6.8465154629848435,-6.438757946496549,5.263717195760233,0
94,6.4790519800874655,-6.0311112217548475,4.917018403634499,0
