Samples,Xpos,Ypos,Pow,NebMode
0,6.4535336826640375,-5.969964213043592,4.871131798794327,0
1,6.494362958541519,-6.026015637695576,4.917018403634499,0
2,6.47394832060278,-6.0056333014584915,4.896624357038867,0
3,6.443326363694663,-5.964868628984321,4.86603328714542,0
4,6.428015385240606,-5.934295124628693,4.840540728900882,0
5,6.4076007473018635,-5.908817204332337,4.8252451939541565,0
6,6.402497087817174,-5.903721620273065,4.81504817065634,0
7,6.402497087817174,-5.903721620273065,4.82014668230525,0
8,6.402497087817174,-5.903721620273065,4.81504817065634,0
9,6.4076007473018635,-5.908817204332337,4.8252451939541565,0
10,6.412704406786549,-5.913912788391608,4.8252451939541565,0
11,6.417808066271235,-5.919008372450879,4.830343705603063,0
12,6.412704406786549,-5.919008372450879,4.830343705603063,0
13,6.412704406786549,-5.913912788391608,4.830343705603063,0
14,6.417808066271235,-5.919008372450879,4.830343705603063,0
15,6.412704406786549,-5.913912788391608,4.8252451939541565,0
16,6.412704406786549,-5.913912788391608,4.8252451939541565,0
17,6.417808066271235,-5.919008372450879,4.830343705603063,0
18,6.412704406786549,-5.913912788391608,4.8252451939541565,0
19,6.412704406786549,-5.913912788391608,4.8252451939541565,0
20,6.412704406786549,-5.913912788391608,4.8252451939541565,0
21,6.4076007473018635,-5.908817204332337,4.82014668230525,0
22,6.4076007473018635,-5.903721620273065,4.82014668230525,0
23,6.397393428332489,-5.898626036213795,4.81504817065634,0
24,6.397393428332489,-5.898626036213795,4.809949659007433,0
25,6.397393428332489,-5.898626036213795,4.809949659007433,0
26,6.397393428332489,-5.898626036213795,4.809949659007433,0
27,6.402497087817174,-5.903721620273065,4.81504817065634,0
28,6.402497087817174,-5.898626036213795,4.81504817065634,0
29,6.392289768847803,-5.893530452154523,4.8048511473585265,0
30,6.387186109363121,-5.888434868095251,4.8048511473585265,0
31,6.387186109363121,-5.888434868095251,4.8048511473585265,0
32,6.397393428332489,-5.893530452154523,4.809949659007433,0
33,6.387186109363121,-5.883339284035981,4.8048511473585265,0
34,6.387186109363121,-5.888434868095251,4.8048511473585265,0
35,6.392289768847803,-5.888434868095251,4.8048511473585265,0
36,6.387186109363121,-5.888434868095251,4.8048511473585265,0
37,6.392289768847803,-5.888434868095251,4.809949659007433,0
38,6.387186109363121,-5.883339284035981,4.8048511473585265,0
39,6.387186109363121,-5.883339284035981,4.799752635709616,0
40,6.392289768847803,-5.888434868095251,4.8048511473585265,0
41,6.392289768847803,-5.888434868095251,4.8048511473585265,0
42,6.387186109363121,-5.888434868095251,4.8048511473585265,0
43,6.387186109363121,-5.883339284035981,4.799752635709616,0
44,6.387186109363121,-5.883339284035981,4.799752635709616,0
45,6.392289768847803,-5.888434868095251,4.8048511473585265,0
46,6.392289768847803,-5.893530452154523,4.8048511473585265,0
47,6.392289768847803,-5.888434868095251,4.8048511473585265,0
48,6.392289768847803,-5.893530452154523,4.809949659007433,0
49,6.392289768847803,-5.893530452154523,4.809949659007433,0
50,6.392289768847803,-5.893530452154523,4.809949659007433,0
51,6.392289768847803,-5.893530452154523,4.8048511473585265,0
52,6.392289768847803,-5.888434868095251,4.8048511473585265,0
53,6.382082449878435,-5.883339284035981,4.799752635709616,0
54,6.387186109363121,-5.888434868095251,4.8048511473585265,0
55,6.387186109363121,-5.883339284035981,4.799752635709616,0
56,6.392289768847803,-5.888434868095251,4.8048511473585265,0
57,6.392289768847803,-5.893530452154523,4.8048511473585265,0
58,6.387186109363121,-5.893530452154523,4.8048511473585265,0
59,6.397393428332489,-5.893530452154523,4.809949659007433,0
60,6.397393428332489,-5.893530452154523,4.809949659007433,0
61,6.397393428332489,-5.893530452154523,4.809949659007433,0
62,6.397393428332489,-5.893530452154523,4.809949659007433,0
63,6.397393428332489,-5.898626036213795,4.81504817065634,0
64,6.4076007473018635,-5.908817204332337,4.82014668230525,0
65,6.417808066271235,-5.919008372450879,4.830343705603063,0
66,6.428015385240606,-5.939390708687965,4.840540728900882,0
67,6.438222704209977,-5.95977304492505,4.855836263847607,0
68,6.4331190447252915,-5.939390708687965,4.845639240549788,0
